Titre :,Détention par les non-résidents de la Dette Négociable de l'Etat (en %),
Code série :,DET.Q.FR.1315.F33000.M.Z9.8.F,
Unité :,Pourcent (PC),
Magnitude :,Unités (0),
Méthode d'observation :,Fin de période (E),
Source :,Banque de France (FR2),
T4 2019,53,6
T3 2019,54,8
T2 2019,53,6
T1 2019,52,6
T4 2018,52,3
T3 2018,53,3
T2 2018,52,9
T1 2018,54,2
T4 2017,54,5
T3 2017,55,2
T2 2017,56,2
T1 2017,57,6
T4 2016,58,3
T3 2016,59,9
T2 2016,59,5
T1 2016,61,
T4 2015,61,9
T3 2015,62,8
T2 2015,63,4
T1 2015,63,9
T4 2014,63,6
T3 2014,63,2
T2 2014,64,1
T1 2014,64,2
T4 2013,63,5
T3 2013,64,1
T2 2013,62,8
T1 2013,61,3
T4 2012,61,9
T3 2012,62,7
T2 2012,63,9
T1 2012,63,5
T4 2011,64,
T3 2011,65,9
T2 2011,65,4
T1 2011,64,4
T4 2010,67,
T3 2010,67,7
T2 2010,70,6
T1 2010,69,3
T4 2009,67,8
T3 2009,66,2
T2 2009,65,2
T1 2009,64,3
T4 2008,64,1
T3 2008,63,5
T2 2008,61,6
T1 2008,60,5
T4 2007,60,5
T3 2007,58,4
T2 2007,59,7
T1 2007,59,
T4 2006,59,
T3 2006,57,7
T2 2006,57,5
T1 2006,56,7
T4 2005,56,5
T3 2005,54,5
T2 2005,53,4
T1 2005,52,1
T4 2004,52,7
T3 2004,51,4
T2 2004,50,8
T1 2004,49,6
T4 2003,48,
T3 2003,44,8
T2 2003,44,3
T1 2003,44,8
T4 2002,41,9
T3 2002,40,2
T2 2002,39,6
T1 2002,38,4
T4 2001,38,4
T3 2001,35,9
T2 2001,35,4
T1 2001,35,1
T4 2000,33,7
T3 2000,31,5
T2 2000,30,7
T1 2000,28,6
T4 1999,28,
